"ID","name","email","company","phone","message","marketing"
"0","John","smith@gmail.com","JSC","7450474355","Hi please call me","yes"
"1","Elle","elle.jones@hotmail.com","Jones","7911820625","I will send a follow up email again soon","yes"
"2","Joe Luige","joeburn@gmail.com",,"7457264989","Contacting to enquire about prices please contact me","no"
"3","Jason Bourne","jason.bourne@yahoo.com",,"7457736959","Hi I am interest I will follow up again soon","no"
"4","Jane Holden","Jane.bssolution@gmail.com","Blue Smith solutions","7452154453","Enquiring about widescale business integration of your solution and the potential costs","yes"
"5","Luis Talylor","Luis.taylor@vcs.com","VCS","7700063278","Enquiring about corporate contract","yes"
"ID","article-image","title","read-time","info","author-image","author-name"
"0","assets/images/2nd-line-technician-Rnd7.png","2nd Line Technician","- 4 minute read ","Salary Range £28k-£36k + Bonuses + Pension Hours 40 hours per week, 
                                            Monday - Friday Location Wymondh...","assets/images/rob-george-zFWY.png","Rob George"
"1","assets/images/1st-line-technician-PiSq.png","1st Line Technician",,"Salary Range £23k-£28k + Bonuses +                                       Pension Hours 40 hours per week, Monday                                            - Friday Location Wymondh...","assets/images/rob-george-zFWY.png","Rob George"
"2","assets/images/receptionist-dKHK.png","Temporary Role - Receptionist",,"Salary Range £21,000-£23,000 per annum Hours 40 hours per week,                                           Mon - Fri Location Wymondham, Norfol...","assets/images/asset%2031.jpeg","Bethany Shakespear"
